case_id	mean	median	sd
PD6417a	15.020833333333334	11	14.982079938988628
PD6418a	20.041666666666668	14.5	17.106426411188384
PD6422a	48.697916666666664	34.5	39.81301553688632
PD6466b	15.729166666666666	10	15.380424446040198
PD6719a	47.84375	44	28.565834626258287
PD6720a	19.541666666666668	14	16.932010585165013
PD6721a	21.385416666666668	16.5	21.073989851131987
PD6722a	114.34375	44	271.6910717834543
PD7199a	11.260416666666666	7.5	11.514974042219226
PD7201a	15.229166666666666	10	15.332441812373675
PD7207a	26.916666666666668	16	32.668241995670954
PD7208a	23.65625	16	26.796240162420272
PD7209a	15.96875	9.5	16.891887261734784
PD7210a	13.3125	9	13.874104997212765
PD7212a	19.635416666666668	14	19.06063443560364
PD7214a	18.885416666666668	14.5	14.945423373881429
PD7215a	71.57291666666667	48	89.61986913058095
PD7216a	16.010416666666668	12	13.038804265217985
PD7217a	104.21875	86	84.97779315178389
PD7218a	19.020833333333332	14	21.169481094834644
PD7219a	131.33333333333334	27	398.81996113974634
PD7221a	19.510416666666668	11	26.46029589350674
PD7321a	66.57291666666667	57	56.35708423066665
PD7404a	131.92708333333334	96	136.3053263655314
PD7409a	80.55208333333333	63	71.29226278114714
PD7431a	41.145833333333336	20.5	66.6429574068395
PD7433a	20.96875	13	22.21874653009078
PD8618a	14.135416666666666	12	13.44667424479429
PD8622a	18.052083333333332	15	13.367966260049606
PD8623a	17.645833333333332	14	14.769797893829198
